253,231,36
250,230,34
248,230,33
246,230,31
243,229,30
241,229,28
238,229,27
236,228,26
233,228,25
231,228,25
228,227,24
225,227,24
223,227,24
220,226,24
218,226,24
215,226,25
212,225,26
210,225,27
207,225,28
205,224,29
202,224,30
199,224,31
197,223,33
194,223,34
191,223,36
189,222,38
186,222,39
183,221,41
181,221,43
178,221,44
175,220,46
173,220,48
170,219,50
167,219,51
165,218,53
162,218,55
159,217,56
157,217,58
154,216,60
151,216,62
149,215,63
146,215,65
144,214,67
141,214,68
139,213,70
136,213,71
134,212,73
131,211,75
129,211,76
126,210,78
124,210,79
121,209,81
119,208,82
116,208,84
114,207,85
112,206,86
109,206,88
107,205,89
105,204,91
103,204,92
100,203,93
98,202,95
96,201,96
94,201,97
91,200,98
89,199,100
87,198,101
85,198,102
83,197,103
81,196,104
79,195,105
77,194,107
75,194,108
73,193,109
71,192,110
69,191,111
68,190,112
66,190,113
64,189,114
62,188,115
61,187,116
59,186,117
57,185,118
56,185,118
54,184,119
53,183,120
51,182,121
50,181,122
48,180,122
47,179,123
46,178,124
44,177,125
43,177,125
42,176,126
41,175,127
40,174,127
39,173,128
38,172,129
37,171,129
36,170,130
35,169,130
35,168,131
34,167,132
33,167,132
33,166,133
32,165,133
32,164,133
31,163,134
31,162,134
31,161,135
30,160,135
30,159,136
30,158,136
30,157,136
30,156,137
30,155,137
30,154,137
30,153,138
30,153,138
30,152,138
30,151,138
31,150,139
31,149,139
31,148,139
31,147,139
31,146,140
32,145,140
32,144,140
32,143,140
33,142,140
33,141,140
33,140,141
34,139,141
34,138,141
34,137,141
35,137,141
35,136,141
35,135,141
36,134,141
36,133,141
36,132,141
37,131,141
37,130,142
38,129,142
38,128,142
38,127,142
39,126,142
39,125,142
39,124,142
40,123,142
40,122,142
40,122,142
41,121,142
41,120,142
42,119,142
42,118,142
42,117,142
43,116,142
43,115,142
44,114,142
44,113,142
44,112,142
45,111,142
45,110,142
46,109,142
46,108,142
46,107,142
47,106,141
47,105,141
48,104,141
48,103,141
49,102,141
49,101,141
49,100,141
50,99,141
50,98,141
51,97,141
51,96,141
52,95,141
52,94,141
53,93,140
53,92,140
54,91,140
54,90,140
55,89,140
55,88,140
56,87,140
56,86,139
57,85,139
57,84,139
58,83,139
58,82,139
59,81,138
59,80,138
60,78,138
60,77,138
61,76,137
61,75,137
61,74,137
62,73,137
62,72,136
63,71,136
63,69,135
64,68,135
64,67,135
65,66,134
65,65,134
66,64,133
66,62,133
66,61,132
67,60,132
67,59,131
67,58,131
68,57,130
68,55,129
69,54,129
69,53,128
69,52,127
69,50,127
70,49,126
70,48,125
70,47,124
70,45,124
71,44,123
71,43,122
71,42,121
71,40,120
71,39,119
71,38,118
71,37,117
72,35,116
72,34,115
72,33,114
72,32,113
72,30,112
72,29,111
72,28,110
72,26,108
72,25,107
71,24,106
71,22,105
71,21,103
71,20,102
71,18,101
71,17,99
71,15,98
70,14,97
70,12,95
70,11,94
70,9,92
69,8,91
69,6,90
69,5,88
68,3,87
68,2,85
68,1,84
